TranscriptID	Entrez
ENSGALT00000005109	427808
ENSGALT00000034695	.
ENSGALT00000005162	417405
ENSGALT00000005180	417406
ENSGALT00000005193	417407
ENSGALT00000005217	417408
ENSGALT00000002347	769592
ENSGALT00000002254	420086
ENSGALT00000005258	417409
ENSGALT00000043723	.
ENSGALT00000008177	395220
ENSGALT00000008172	417230
ENSGALT00000005372	417410
ENSGALT00000002192	428337
ENSGALT00000005419	417411
ENSGALT00000002155	101751598
ENSGALT00000001164	100859850
ENSGALT00000001168	420075
ENSGALT00000001169	.
ENSGALT00000045420	.
ENSGALT00000041218	.
ENSGALT00000005437	417412
ENSGALT00000008132	417228
ENSGALT00000041222	395746
ENSGALT00000001193	.
ENSGALT00000018179	.
ENSGALT00000008122	771539
ENSGALT00000041215	395887
ENSGALT00000008118	395182
ENSGALT00000008495	425243
ENSGALT00000000738	395196
ENSGALT00000001207	420077
ENSGALT00000005471	417413
ENSGALT00000043760	396002
ENSGALT00000044045	.
ENSGALT00000039898	771557
ENSGALT00000041212	428324
ENSGALT00000008101	417227
ENSGALT00000041210	.
ENSGALT00000001236	420078
ENSGALT00000001472	420079
ENSGALT00000005503	417414
ENSGALT00000008092	417226
ENSGALT00000008075	.
ENSGALT00000043220	417224
ENSGALT00000007997	101750262
ENSGALT00000007994	101750262
ENSGALT00000043137	101750262
ENSGALT00000007990	427768
ENSGALT00000034662	417415
ENSGALT00000007972	417221
ENSGALT00000005557	771243
ENSGALT00000007962	417220
ENSGALT00000017003	100857182
ENSGALT00000006110	429269
ENSGALT00000007881	417219
ENSGALT00000034655	417417
ENSGALT00000005570	417418
ENSGALT00000007872	.
ENSGALT00000001502	420080
ENSGALT00000005586	395629
ENSGALT00000040282	100857862
ENSGALT00000005602	417419
ENSGALT00000005647	427809
ENSGALT00000005672	417420
ENSGALT00000034629	417421
ENSGALT00000007792	427766
ENSGALT00000005741	100858895
ENSGALT00000001527	420081
ENSGALT00000001533	431047
ENSGALT00000007750	417217
ENSGALT00000005785	417423
ENSGALT00000005785	417423
ENSGALT00000005785	100859426
ENSGALT00000005785	100859426
ENSGALT00000044283	.
ENSGALT00000045765	.
ENSGALT00000023521	426626
ENSGALT00000043336	.
ENSGALT00000029695	769919
ENSGALT00000001557	428327
ENSGALT00000045934	417428
ENSGALT00000045934	417428
ENSGALT00000045934	100859535
ENSGALT00000045934	100859535
ENSGALT00000042721	373924
ENSGALT00000042721	373924
ENSGALT00000042721	100859571
ENSGALT00000042721	100859571
ENSGALT00000006226	.
ENSGALT00000045861	.
ENSGALT00000007637	417215
ENSGALT00000007631	417214
ENSGALT00000041186	428328
ENSGALT00000007603	417213
ENSGALT00000045650	417423
ENSGALT00000007546	.
ENSGALT00000005813	.
ENSGALT00000005864	417425
ENSGALT00000005864	417425
ENSGALT00000005864	100859465
ENSGALT00000005864	100859465
ENSGALT00000045009	100857383
ENSGALT00000005876	417427
ENSGALT00000005876	417427
ENSGALT00000005876	100857488
ENSGALT00000005876	100857488
ENSGALT00000046076	.
ENSGALT00000044345	100859443
ENSGALT00000039770	374234
ENSGALT00000045895	429400
ENSGALT00000043724	100857814
ENSGALT00000042712	.
ENSGALT00000006197	417428
ENSGALT00000006197	417428
ENSGALT00000006197	100859535
ENSGALT00000006197	100859535
ENSGALT00000045133	373924
ENSGALT00000043235	417429
ENSGALT00000043235	417429
ENSGALT00000043235	100859614
ENSGALT00000043235	100859614
ENSGALT00000006288	417430
ENSGALT00000006288	417430
ENSGALT00000006288	101749801
ENSGALT00000006288	101749801
ENSGALT00000006308	417431
ENSGALT00000006331	101749632
ENSGALT00000042998	100857312
ENSGALT00000001637	395146
ENSGALT00000041183	395146
ENSGALT00000006404	395152
ENSGALT00000041173	.
ENSGALT00000001642	770135
ENSGALT00000006461	417433
ENSGALT00000041172	770153
ENSGALT00000001662	770192
ENSGALT00000035502	.
ENSGALT00000035698	100859706
ENSGALT00000001690	395202
ENSGALT00000044494	.
ENSGALT00000001695	770217
ENSGALT00000043081	.
ENSGALT00000001723	428329
ENSGALT00000045430	772302
ENSGALT00000043824	417434
ENSGALT00000006617	417435
ENSGALT00000006665	427811
ENSGALT00000006701	417437
ENSGALT00000035511	100857433
